"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2022","7.764","8.298","8.319","7.717","96.57K","-6.73%"
"09/15/2022","8.324","9.073","9.117","8.204","127.21K","-8.67%"
"09/14/2022","9.114","8.391","9.238","8.325","137.21K","10.02%"
"09/13/2022","8.284","8.381","8.456","8.155","108.83K","0.42%"
"09/12/2022","8.249","8.026","8.406","7.855","106.17K","3.16%"
"09/09/2022","7.996","7.975","8.205","7.888","90.50K","1.02%"
"09/08/2022","7.915","7.841","8.064","7.772","105.99K","0.93%"
"09/07/2022","7.842","8.039","8.299","7.751","127.19K","-3.72%"
"09/06/2022","8.145","9.028","9.126","7.823","149.36K","-6.53%"
"09/05/2022","8.714","8.983","8.996","8.691","17.91K","-2.96%"
"09/04/2022","8.980","9.045","9.122","8.943","2.47K","2.21%"
"09/02/2022","8.786","9.190","9.240","8.619","103.17K","-5.14%"
"09/01/2022","9.262","9.133","9.394","9.010","94.24K","1.48%"
"08/31/2022","9.127","9.082","9.284","8.814","86.29K","0.94%"
"08/30/2022","9.042","9.262","9.300","8.865","76.60K","-3.33%"
"08/29/2022","9.353","9.670","9.682","9.034","1.20K","0.61%"
"08/26/2022","9.296","9.372","9.668","9.186","33.98K","-0.84%"
"08/25/2022","9.375","9.239","9.419","9.175","25.83K","0.48%"
"08/24/2022","9.330","9.250","9.455","9.100","50.50K","1.49%"
"08/23/2022","9.193","9.817","10.028","9.050","118.63K","-5.03%"
"08/22/2022","9.680","9.174","9.982","9.158","92.41K","3.68%"
"08/19/2022","9.336","9.201","9.395","8.870","69.81K","1.61%"
"08/18/2022","9.188","9.166","9.663","8.913","112.10K","-0.61%"
"08/17/2022","9.244","9.362","9.677","9.121","88.68K","-0.91%"
"08/16/2022","9.329","8.809","9.411","8.785","104.09K","6.89%"
"08/15/2022","8.728","8.679","8.936","8.403","80.22K","-0.46%"
"08/12/2022","8.768","8.717","8.919","8.516","68.13K","-1.19%"
"08/11/2022","8.874","8.222","8.994","8.178","141.75K","8.19%"
"08/10/2022","8.202","7.858","8.267","7.705","111.81K","4.71%"
"08/09/2022","7.833","7.666","7.889","7.623","88.51K","3.22%"
"08/08/2022","7.589","7.876","7.917","7.532","117.79K","-5.89%"
"08/05/2022","8.064","8.151","8.248","7.898","111.70K","-0.71%"
"08/04/2022","8.122","8.281","8.450","7.825","102.54K","-1.74%"
"08/03/2022","8.266","7.671","8.480","7.550","134.21K","7.27%"
"08/02/2022","7.706","8.228","8.233","7.625","106.08K","-6.97%"
"08/01/2022","8.283","7.910","8.298","7.753","104.02K","0.66%"
"07/29/2022","8.229","8.155","8.388","8.010","77.77K","1.17%"
"07/28/2022","8.134","8.580","8.845","8.103","89.24K","-6.37%"
"07/27/2022","8.687","8.881","9.138","8.487","1.89K","-3.40%"
"07/26/2022","8.993","8.814","9.752","8.750","38.20K","3.05%"
"07/25/2022","8.727","8.390","8.874","8.347","33.16K","5.16%"
"07/22/2022","8.299","7.892","8.417","7.750","52.81K","4.63%"
"07/21/2022","7.932","7.873","8.176","7.606","96.42K","-0.94%"
"07/20/2022","8.007","7.312","8.040","7.174","120.86K","10.23%"
"07/19/2022","7.264","7.432","7.541","7.109","96.16K","-2.87%"
"07/18/2022","7.479","7.168","7.554","7.078","91.13K","6.60%"
"07/15/2022","7.016","6.669","7.144","6.420","105.88K","6.30%"
"07/14/2022","6.600","6.598","6.898","6.537","121.04K","-1.33%"
"07/13/2022","6.689","6.252","6.798","6.201","116.81K","8.53%"
"07/12/2022","6.163","6.525","6.786","6.014","132.05K","-4.09%"
"07/11/2022","6.426","6.446","6.689","6.232","109.39K","6.50%"
"07/08/2022","6.034","6.188","6.305","6.012","107.33K","-4.18%"
"07/07/2022","6.297","5.539","6.381","5.488","127.67K","14.28%"
"07/06/2022","5.510","5.460","5.737","5.380","73.51K","-0.24%"
"07/05/2022","5.523","5.712","5.907","5.325","110.17K","-5.64%"
"07/04/2022","5.853","5.715","5.907","5.601","9.73K","2.49%"
"07/03/2022","5.711","5.710","5.740","5.676","0.52K","-0.33%"
"07/01/2022","5.730","5.701","5.950","5.590","106.97K","5.64%"
"06/30/2022","5.424","6.428","6.602","5.357","182.58K","-16.53%"
"06/29/2022","6.498","6.632","6.833","6.405","82.21K","-0.81%"
"06/28/2022","6.551","6.449","6.765","6.386","2.46K","0.77%"
"06/27/2022","6.501","6.126","6.538","6.010","33.10K","4.52%"
"06/24/2022","6.220","6.228","6.337","6.021","26.57K","-0.30%"
"06/23/2022","6.239","6.829","6.840","6.175","78.03K","-9.03%"
"06/22/2022","6.858","6.844","6.930","6.575","92.47K","0.73%"
"06/21/2022","6.808","6.800","6.976","6.554","120.01K","1.43%"
"06/20/2022","6.712","6.708","6.843","6.636","23.89K","0.15%"
